id;start_date;end_date;language
1;2022-10-16T09:34:59;2022-10-16T07:25:14;ENGLISH
2;2022-10-15T19:02:34;2022-10-16T04:28:03;FRENCH
3;2022-10-16T04:58:46;2022-10-15T17:03:54;SPANISH
4;2022-10-16T09:29:35;2022-10-15T14:55:54;FRENCH
5;2022-10-16T11:45:58;2022-10-15T20:04:56;ENGLISH
6;2022-10-15T21:16:41;2022-10-16T11:17:01;SPANISH
7;2022-10-16T05:20:29;2022-10-15T15:54:38;FRENCH
8;2022-10-15T19:46:22;2022-10-15T16:22:11;FRENCH
9;2022-10-15T20:38:00;2022-10-16T08:09:26;FRENCH
10;2022-10-15T16:34:58;2022-10-16T09:32:27;FRENCH
